Logger, boumedyenDZ:         	Automatically truncated logfile to 1048576, MadelineProto 8.1.0
#16 /home/boumedyen/projects/telegram_posts_aggregator/vendor/amphp/amp/src/Future.php(251): Revolt\EventLoop\Internal\DriverSuspension->suspend()
#17 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/AbstractServer.php(176): Amp\Future->await()
#18 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/Runner/entry.php(119): danog\MadelineProto\Ipc\AbstractServer::waitShutdown()
#19 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/Runner/entry.php(154): {closure:/home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/Runner/entry.php:35}()
#20 {main}
ReadLoop, boumedyenDZ:       	Got exception in DC 4.0, reconnecting...
Connection, boumedyenDZ:     	Reconnecting DC 4.0
Connection, boumedyenDZ:     	Disconnecting from DC 4.0
Connection, boumedyenDZ:     	Disconnected from DC 4.0
Connection, boumedyenDZ:     	Connecting to DC 4.0 via tcp://149.154.167.92:443 main DC 4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream 
Connection, boumedyenDZ:     	Connected to DC 4.0 via tcp://149.154.167.92:443 main DC 4, via ipv4 using AbridgedStream => BufferedRawStream => DefaultStream!
DataCenterConnection, boumedyenDZ: 	Acquiring lock in order to init auth for DC 4
DataCenterConnection, boumedyenDZ: 	Initing auth for DC 4
DataCenterConnection, boumedyenDZ: 	Done initing auth for DC 4
AckHandler, boumedyenDZ:     	No reply for message: msgs_state_req with message ID 7502853072025986532 sent 6.481236654 seconds ago
CheckLoop, boumedyenDZ:      	Still missing updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference,  on DC 4.0, sending state request
CheckLoop, boumedyenDZ:      	Got exception in check loop for DC 4.0
CheckLoop, boumedyenDZ:      	Amp\TimeoutException: Request timeout in /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/MTProtoSession/AckHandler.php:124
Stack trace:
#0 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Loop/Connection/CheckLoop.php(79): danog\MadelineProto\Connection::{closure:danog\MadelineProto\MTProtoSession\AckHandler::getPendingCalls():124}()
#1 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): danog\MadelineProto\Loop\Connection\CheckLoop->{closure:danog\MadelineProto\Loop\Connection\CheckLoop::loop():75}()
#2 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(621): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#3 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#4 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(64): Fiber->resume()
#5 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::resume():61}()
#6 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(567): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#7 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#8 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(503): Fiber->start()
#9 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(558): Revolt\EventLoop\Internal\AbstractDriver->invokeCallbacks()
#10 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createLoopFiber():538}()
#11 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(96): Fiber->resume()
#12 /home/boumedyen/projects/telegram_posts_aggregator/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(117): Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::__construct():90}()
#13 /home/boumedyen/projects/telegram_posts_aggregator/vendor/amphp/amp/src/Future.php(251): Revolt\EventLoop\Internal\DriverSuspension->suspend()
#14 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/AbstractServer.php(176): Amp\Future->await()
#15 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/Runner/entry.php(119): danog\MadelineProto\Ipc\AbstractServer::waitShutdown()
#16 /home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/Runner/entry.php(154): {closure:/home/boumedyen/projects/telegram_posts_aggregator/vendor/acgfbr/madelineproto/src/Ipc/Runner/entry.php:35}()
#17 {main}
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502831768988064808 sent 16.371084738 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502831768988064812 sent 16.37078142 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502831768988064816 sent 16.370609265 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getDifference with message ID 7502831768988064820 sent 16.370609716 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502831768988064828 sent 16.370513394 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502831768988064832 sent 16.37035468 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502831768988064836 sent 16.37035501 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502831768988064844 sent 16.370264607 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853037665497996 sent 15.116656629 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853037666066812 sent 15.116110985 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853037666079592 sent 15.116108815 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853037666083520 sent 15.116109445 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853037666090084 sent 15.115889249 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853054845682308 sent 10.253368482 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853054845696716 sent 10.253364762 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853067730532656 sent 7.985487673 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853067730824508 sent 7.982920069 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853067731047484 sent 7.982011006 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853067731047492 sent 7.407387319 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853067731047500 sent 7.406603329 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853072025749864 sent 6.74621002 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853072025762544 sent 6.74620849 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853072025766296 sent 6.74620989 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853072025768244 sent 6.7462111 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853072025986500 sent 6.744052315 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853072025986504 sent 6.743725687 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853072025986508 sent 6.743726207 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Can't garbage collect updates.getChannelDifference with message ID 7502853072025986520 sent 6.742723379 seconds ago in DC 4, no response has been received or it wasn't yet handled!
Session, boumedyenDZ:        	Garbage collected 11 outgoing messages in DC 4, 30 left
MsgIdHandler, boumedyenDZ:   	Zend hashmap reallocation done. Cleaned memory: -0.1 Mb
PingLoop, boumedyenDZ:       	Ping DC 4.0
CheckLoop, boumedyenDZ:      	Still missing updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference, updates.getChannelDifference,  on DC 4.0, sending state request
ResponseHandler, boumedyenDZ: 	Received bad_msg_notification: incorrect server salt (in this case, the bad_server_salt response is received with the correct salt, and the message is to be re-sent with it)
ResponseHandler, boumedyenDZ: 	Received bad_msg_notification: incorrect server salt (in this case, the bad_server_salt response is received with the correct salt, and the message is to be re-sent with it)
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064808 sent 19.011265035 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064812 sent 19.010979888 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064816 sent 19.010814053 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getDifference with message ID 7502831768988064820 sent 19.010817973 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064828 sent 19.010725391 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064832 sent 19.010569627 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064836 sent 19.010572718 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064844 sent 19.010484845 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853037665497996 sent 17.756879387 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853037666066812 sent 17.756335583 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853037666079592 sent 17.756335313 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853037666083520 sent 17.756338173 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853037666090084 sent 17.756119137 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853054845682308 sent 12.893600421 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853054845696716 sent 12.893597851 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853067730532656 sent 10.625722392 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853067730824508 sent 10.623155847 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853067731047484 sent 10.622248174 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853067731047492 sent 10.047626147 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853067731047500 sent 10.046844147 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025749864 sent 9.386452468 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025762544 sent 9.386452599 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025766296 sent 9.386455969 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025768244 sent 9.386459229 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025986500 sent 9.384302484 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025986504 sent 9.383977396 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025986508 sent 9.383979146 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025986520 sent 9.382978408 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064808 sent 0.000249757 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064812 sent 0.000258196 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064816 sent 0.000266387 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getDifference with message ID 7502831768988064820 sent 0.000270367 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064828 sent 0.000274997 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064832 sent 0.000279087 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064836 sent 0.000282907 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502831768988064844 sent 0.000287347 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853037665497996 sent 0.000292608 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853037666066812 sent 0.000297998 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853037666079592 sent 0.000302968 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853037666083520 sent 0.000308308 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853037666090084 sent 0.000312068 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853054845682308 sent 0.000315008 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853054845696716 sent 0.000317728 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853067730532656 sent 0.000320339 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853067730824508 sent 0.000323209 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853067731047484 sent 0.000325739 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853067731047492 sent 0.000328158 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853067731047500 sent 0.000331028 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025749864 sent 0.000333468 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025762544 sent 0.000335738 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025766296 sent 0.000338518 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025768244 sent 0.000341728 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025986500 sent 0.000344129 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025986504 sent 0.000346749 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025986508 sent 0.000349629 seconds ago not received by server, resending...
CheckLoop, boumedyenDZ:      	Message updates.getChannelDifference with message ID 7502853072025986520 sent 0.000352069 seconds ago not received by server, resending...
FeedLoop, boumedyenDZ:       	Resumed update feed loop channel -1001837074926
UpdateHandler, boumedyenDZ:  	Saving update of type updateEditChannelMessage
FeedLoop, boumedyenDZ:       	Resumed update feed loop channel -1002106401223
FeedLoop, boumedyenDZ:       	Got channel too long update, getting difference...
FeedLoop, boumedyenDZ:       	Resumed update feed loop channel -1001810894676
FeedLoop, boumedyenDZ:       	Got channel too long update, getting difference...
FeedLoop, boumedyenDZ:       	Resumed update feed loop channel -1001758092249
FeedLoop, boumedyenDZ:       	Got channel too long update, getting difference...
FeedLoop, boumedyenDZ:       	Resumed update feed loop channel -1001837074926
FeedLoop, boumedyenDZ:       	Got channel too long update, getting difference...
FeedLoop, boumedyenDZ:       	Resumed update feed loop channel -1001893472043
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
FeedLoop, boumedyenDZ:       	MSGID duplicate (9695) in update feed loop channel -1001893472043
FeedLoop, boumedyenDZ:       	Resumed update feed loop channel -1001893472043
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001810894676...
FeedLoop, boumedyenDZ:       	Resumed update feed loop channel -1001810894676
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateDeleteChannelMessages
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001758092249...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001758092249...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001758092249...
FeedLoop, boumedyenDZ:       	Getdiff fed me message of type message in update feed loop channel -1001758092249...
FeedLoop, boumedyenDZ:       	Resumed update feed loop channel -1001758092249
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
UpdateHandler, boumedyenDZ:  	Saving update of type updateNewChannelMessage
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853054845696716 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853054845696716!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853067730532656 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853067730532656!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853037666090084 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853037666090084!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853054845682308 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853054845682308!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853072025766296 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853072025766296!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853067730824508 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853067730824508!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853067731047484 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853067731047484!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853072025768244 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853072025768244!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853072025749864 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853072025749864!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853072025986508 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853072025986508!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853067731047500 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853067731047500!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853072025986500 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853072025986500!
ResponseHandler, boumedyenDZ: 	Already got a response to updates.getChannelDifference with message ID 7502853067731047492 acked (by reply), but there is another reply incoming message rpc_result with message ID 7502853067731047492!
